City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Cayenne,GF,80.1,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
11,Grand Gaube,MU,79.38,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
12,Vaini,TO,82.56,light intensity drizzle,-21.2,-175.2,Keleti Beach Resort
13,Mahebourg,MU,79.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
16,Alugan,PH,84.51,scattered clouds,12.2188,125.4808,JM Lodge
21,Ambunti,PG,88.38,broken clouds,-4.2365,142.8448,Ambunti Lodge
26,Puerto Escondido,MX,78.51,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
27,Isangel,VU,79.68,overcast clouds,-19.55,169.2667,Tanna Lodge
28,Atuona,PF,78.51,clear sky,-9.8,-139.0333,Villa Enata
31,Lorengau,PG,85.68,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
32,Sola,VU,80.56,overcast clouds,-13.8833,167.55,Leumerus Bungalows
37,Kantang,TH,87.53,broken clouds,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
41,Isabela,PH,85.44,scattered clouds,6.7085,121.9711,Isawad Resort
47,Saint-Philippe,RE,81.48,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
49,Avarua,CK,78.85,clear sky,-21.2078,-159.775,Paradise Inn
50,Nouakchott,MR,78.73,overcast clouds,18.0858,-15.9785,HOTEL IMAN
52,Kavieng,PG,82.47,moderate rain,-2.5744,150.7967,Nusa Island Retreat
53,Esperance,AU,78.33,clear sky,-33.8667,121.9,Hospitality Esperance
55,Kupang,ID,88.38,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
57,Veraval,IN,83.79,broken clouds,20.9,70.3667,Lords Inn Somnath
62,Balikpapan,ID,85.19,few clouds,-1.2675,116.8289,ibis Balikpapan
65,Kapaa,US,80.58,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
67,Busselton,AU,86.09,moderate rain,-33.65,115.3333,Observatory Guest House
71,Yeppoon,AU,83.98,overcast clouds,-23.1333,150.7333,Villa Mar Colina
73,Bambous Virieux,MU,79.21,light rain,-20.3428,57.7575,Casa Tia Villa
76,Maitum,PH,85.96,scattered clouds,6.0392,124.4986,Pearl Garden
88,Tautira,PF,84.0,few clouds,-17.7333,-149.15,Pension Oaoa
89,Georgetown,MY,85.95,scattered clouds,5.4112,100.3354,Cititel Penang
90,Hithadhoo,MV,79.86,moderate rain,-0.6,73.0833,Scoop Guest House
95,Hilo,US,76.73,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
96,Oistins,BB,77.94,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
97,Airai,TL,77.13,broken clouds,-8.9266,125.4092,Juvinal Martin
101,Chai Nat,TH,87.08,scattered clouds,15.1167,100.1,Thai Boxing ROSEINN RESORT
103,Bengkulu,ID,83.71,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
104,Ambon,ID,89.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
106,Hambantota,LK,84.61,broken clouds,6.1241,81.1185,Bungalow 63
110,Alice Springs,AU,81.95,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
112,Road Town,VG,78.01,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
115,Gigmoto,PH,85.91,scattered clouds,13.7796,124.39,Cj's Travellers Inn
118,Muana,BR,76.14,heavy intensity rain,-1.5283,-49.2167,Pousada Bella do Marajó
124,Adrar,MR,76.44,overcast clouds,20.5022,-10.0711,
125,Gorom-Gorom,BF,76.98,clear sky,14.4439,-0.2361,
137,Bani,DO,77.76,few clouds,18.2833,-70.3333,Hospedaje Henriquez
143,Itarema,BR,81.64,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
145,Moussoro,TD,76.28,clear sky,13.6408,16.4901,Hôtel Salama
148,Butaritari,KI,81.68,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
149,Bubaque,GW,82.85,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
154,Souillac,MU,79.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
164,Port-Gentil,GA,75.94,moderate rain,-0.7193,8.7815,Fengshui Residence
165,Lazaro Cardenas,MX,76.28,clear sky,17.9583,-102.2,quinta antigua
168,Victoria,HK,78.85,clear sky,22.2855,114.1577,Mini Hotel Central
180,Coolum Beach,AU,84.34,overcast clouds,-26.5333,153.1,Palmer Coolum Resort
185,Sambava,MG,77.58,scattered clouds,-14.2667,50.1667,Melrose
186,Tutoia,BR,80.69,overcast clouds,-2.7619,-42.2744,Pousada Guará's
187,Geraldton,AU,75.61,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
190,Curup,ID,78.93,overcast clouds,-3.4667,102.5333,Ayi The Costel
198,Tamandare,BR,77.63,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
200,Sawakin,SD,77.86,broken clouds,19.1059,37.3321,فندق الدويم
201,Samarai,PG,83.07,scattered clouds,-10.6167,150.6667,Nuli Sapi
203,Manokwari,ID,84.04,few clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
208,Galle,LK,82.92,broken clouds,6.0367,80.217,Amangalla
209,Kloulklubed,PW,85.51,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
211,Neuquen,AR,75.09,clear sky,-38.9516,-68.0591,Hotel del Comahue
212,Kudahuvadhoo,MV,81.97,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
215,Vikindu,TZ,77.02,overcast clouds,-7.0067,39.2985,RUTA GUEST HOUSE
216,Banda Aceh,ID,83.26,overcast clouds,5.5577,95.3222,Sulthan Hotel International
222,Kavaratti,IN,81.01,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
225,Yulara,AU,82.24,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
229,Dzaoudzi,YT,82.29,light rain,-12.7887,45.2699,Le Rocher
235,Coruripe,BR,77.25,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
252,Pundaguitan,PH,84.25,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
255,Kailua,US,80.74,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
258,Telhara,IN,78.82,scattered clouds,21.0269,76.8389,Raj Pan Palace
262,Quatre Cocos,MU,79.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
264,Boyolangu,ID,86.34,overcast clouds,-8.1181,111.8935,Yos ega cv
265,Isla Mujeres,MX,75.25,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
268,Kahului,US,78.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
273,Singaparna,ID,84.52,broken clouds,-7.3515,108.111,Wisma Dewi Hotel
278,Mandera,KE,78.33,overcast clouds,3.9366,41.867,Mwalimu Guest mandera
