City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,73.85,58,19,3.42,few clouds
1,Puerto Ayora,EC,-0.7393,-90.3518,69.04,83,72,8.01,broken clouds
2,Dovolnoye,RU,54.4958,79.6671,14.99,83,100,12.57,overcast clouds
3,Ushuaia,AR,-54.8,-68.3,33.46,93,75,25.32,light snow
4,Hasaki,JP,35.7333,140.8333,63.28,57,96,5.7,overcast clouds
5,Cayenne,GF,4.9333,-52.3333,80.1,88,20,0.0,few clouds
6,Saskylakh,RU,71.9167,114.0833,-17.59,98,95,4.47,overcast clouds
7,Punta Arenas,CL,-53.15,-70.9167,39.31,70,40,20.71,scattered clouds
8,Arraial Do Cabo,BR,-22.9661,-42.0278,70.34,71,95,11.54,overcast clouds
9,Boone,US,39.0334,-92.3335,52.65,70,100,1.99,overcast clouds
10,Hermanus,ZA,-34.4187,19.2345,63.81,80,85,16.84,overcast clouds
11,Grand Gaube,MU,-20.0064,57.6608,79.38,70,14,11.01,light rain
12,Vaini,TO,-21.2,-175.2,82.56,89,75,6.91,light intensity drizzle
13,Mahebourg,MU,-20.4081,57.7,79.25,69,24,10.67,light rain
14,Nanortalik,GL,60.1432,-45.2371,37.71,99,100,10.4,moderate rain
15,Shenjiamen,CN,29.9576,122.298,62.87,86,86,7.83,overcast clouds
16,Alugan,PH,12.2188,125.4808,84.51,74,48,6.67,scattered clouds
17,Naze,JP,28.3667,129.4833,70.02,77,96,14.25,overcast clouds
18,Barrow,US,71.2906,-156.7887,-0.38,78,75,9.22,broken clouds
19,Bridlington,GB,54.0831,-0.1919,42.53,75,42,21.52,scattered clouds
20,Bossangoa,CF,6.4926,17.4552,72.84,70,76,3.65,broken clouds
21,Ambunti,PG,-4.2365,142.8448,88.38,66,57,1.54,broken clouds
22,Port Hardy,CA,50.6996,-127.4199,44.29,87,100,12.73,light rain
23,Fenoarivo,MG,-18.933,47.4354,66.27,82,75,9.22,broken clouds
24,Dejen,ET,10.1667,38.1333,51.87,62,34,2.84,scattered clouds
25,Suraabad,AZ,40.8192,49.4687,44.78,83,60,10.78,broken clouds
26,Puerto Escondido,MX,15.85,-97.0667,78.51,78,0,4.74,clear sky
27,Isangel,VU,-19.55,169.2667,79.68,70,100,7.72,overcast clouds
28,Atuona,PF,-9.8,-139.0333,78.51,75,9,12.59,clear sky
29,Richards Bay,ZA,-28.783,32.0377,65.16,83,100,5.17,overcast clouds
